User,veAEQ % Owned,Amount Owed
0xda7a763bde6ee9cafc3876ef33d67f8eed7891f7,18.1205,960.3865000000001
0x5d166006367856a7d8028f822c7c236f9efa7a8d,13.3079,705.3187
0x69e02d001146a86d4e2995f9ecf906265aa77d85,5.3362,282.8186
0xcc5503137fc029a830fd8bf1c12bbd9ac4e3f0d7,5.475,290.17499999999995
0x743b0ebc575bd24cd978d108b6e52c21c58d4079,4.5066,238.84979999999996
0xc3530d160b48f19c14fec76f4c206441ba265c95,3.9644,210.1132
0xd5c49c80cbea2d5af7c4bee4ac2ce3f85a34a899,3.0139,159.73669999999998
0xbc4e6a07646c564a333c971dedacdbc485fee5a8,2.5888,137.2064
0x2be237c75a2730b5ebae1de8f066cf57f59d12fe,2.5765,136.5545
0x7aea5f39c4cdacba9d3bed35eb73b07f89d71abe,2.234,118.40199999999999
0xba9f68316932ae306806df192455e011af78ea1a,2.0758,110.01740000000001
0x227c79a7464f08ea8aa5d9f8b22aa63adec79a9b,1.9148,101.48440000000001
0x0cd852539cc13267eadb82be19e86ea1f61eb17e,1.7883,94.7799
0x16497ef5d7071a86f97f9140c651d68440527bc4,1.2518,66.3454
0xf7fc09f24a5f7e9a0fa36d99dd8dc877c3e0fed6,1.1075,58.6975
0x569bbc59d52907e2faf7dfa272a9a4ee0ba589a2,1.5419,81.72070000000001
0xee02b046b42768e1ba2fb32d97d55824f3eb6e51,1.0401,55.1253
0xe166f5d72269b8f31aa9679351b626b6235cae05,1.0067,53.3551
0x0a10753cac8b635ee4e049814984cfaffa367c7b,0.9815,52.0195
0x1a61bf28f66451bd43e7be5fb788a2b1f5f4231f,0.952,50.455999999999996
0x5d2f1caaf44c0ef31e2381b9aa3a7e930084ff68,0.88,46.64
0xc911faaa3e4755a5aa451f394295062e0ae623d1,0.8507,45.08710000000001
0x8b8535c33783752ffbdb461865fdca1f26f74e4a,0.7857,41.6421
0x28a143b4ed91934ac11270d99dc5896299bfd04b,0.779,41.287
0x19868b43cc7e16f8a928c500400d24f1b5f2dcff,0.7663,40.6139
0xe14ae9ec6090d023f77e00e4b6f00a0f748ed895,0.7548,40.0044
0xa1094c4d9b850fc4cce29ed14df184bc4752078e,0.7423,39.3419
0x05ab06939adb5a0c4c5b5e4e35716296e69e456b,1.0362,54.9186
0x39462b901f1ecd486ee9e32f7fd1a1e836827831,0.6885,36.4905
0xccb666491bed5efb638cafeb5a296ffa8853e5f7,0.6738,35.7114
0xd084d8b981a3fa3232380fc569207054b31b2c0e,0.6186,32.7858
0x3ff07607c5c8c619c69b1fd4c08aebf069aa10c7,0.5494,29.118199999999998
0x25d7500f6ff9316a0587fe01faaf7daf4af15e73,0,0
0xf0c481024b0097916fb9ac0156cc8fb08a29f9f7,0.466,24.698
0x04dffde6ca95b0c002345014745bd75fbf7523ce,0.4616,24.4648
0xe92e71714cf612485aa9f0be316a3d5e98906435,0.3863,20.473899999999997
0x6d09dd88bd80596746e482d208def2f26bfd2601,0.3846,20.3838
0xb69ec3f5f3e103f79cb14dba669fb24c7d1c9967,0.3821,20.251299999999997
0xc12ca084236a042a658c28c894df95e3b80de125,0.3748,19.8644
0xa12be400f22c8cb89e29cd95a4031420374b5e8c,0.3414,18.0942
0xabcd018b36ea7a16fdb177f85988e156182046ca,0.3363,17.8239
0xb84a313fc5bb3d8dda31e6cf2b510539e6cd96c7,0,0
0xc48983f3400965a483cdfcfc4288f369bbbf9f20,0,0
0x1b30f8ee9d7718b182bad677c06980e5a0668526,0.3219,17.0607
0x16d088a79d7d36213618263184783fb4d6375e33,0.3213,17.0289
0x11175a05d2cbdf6f823ef8f26be55773d80768fd,0.303,16.058999999999997
0xf29fd03df2cb7f81d8ae4d10a76f8b1c898786bd,0.2958,15.6774
0xb14925c2a470a2410a30f4a052a16700f0c167d8,0.2839,15.0467
0xcb53bb0a7086363b7b962a2a5a877fcdcc76555a,0.2765,14.6545
0x7123df3d6f6813737cc033659084ee834b12ec7b,0.2745,14.5485
0x1b40953944a0d0a1628642b1a1d773db5799057c,0.2694,14.278199999999998
0xb173e5d2eb505181f005cf457926453725d9a26d,0.2651,14.0503
0x5b39829b09a1b81e920a0c514a46a390cb0aa4cb,0.2584,13.695200000000002
0x8bf3218b944cb6291adff26dc4f36e8b7453a518,0.2566,13.5998
0x7f6f11fe804622f546c9e925f11e073d217321a7,0.2503,13.2659
0xfd6e577bc642238e1e091432eec1a9f83fbbe03b,0.2224,11.787199999999999
0xa2091aa24bf43649dc11f46a4034d5602173df05,0.2145,11.3685
0x5821a1b92940a25a123852946de51b600e69e34f,0.213,11.289
0x66184928f9ed4deb086da37ed0e51c1041514ee3,0.2096,11.1088
0x37e014215902ba306da13464a613f2e38578a6d0,0.1954,10.3562
0xb565d5c50d9477e99eaf4cc03b904326f673030e,0.1951,10.340300000000001
0x28acc5e98fc5fdb00bc3ae998e50ade500206e8a,0.1906,10.101799999999999
0x00426ec496d6aeac556fbd3e1e00a307ab7f5211,0.1896,10.0488
0xc14123749de3a0a8ecab775f2bb11b9c5db5e6eb,0.1795,9.5135
0xd13a06e565f0409017e89d057a289bdc433d6da1,0.1699,9.0047
0xb0c4b5f561147b63cfa81f502113c18a8b8c8643,0.1664,8.819199999999999
0xa81a1a69738e26cb847114fa17e2f2b40fb12cf4,0.16,8.48
0xc2aa39a914c55b1d86aac2d41cc09e15ba28adc8,0.1547,8.1991
0x65cc0a1a964a60b26f402b737762f41424bb2c0e,0.152,8.056
0x9ce4e0665f090090c069d0c6fd6132d5755e54bf,0.1498,7.9394
0x9d2c87f55ace54b382912c3754fbf879e237dbee,0.1454,7.7062
0xe2b79bf57d239d114fccf0e51e9a084b0bf3acf1,0.1362,7.2185999999999995
0x154a1799c339f1d2eab56b46a5985d79f9c42874,0.1351,7.1603
0xd01a7916173a65212e83f7e10607cbc502c10749,0.1257,6.662100000000001
0x8b63132ea07ab898afe389d393070b325d8277b9,0.1172,6.211600000000001
0xeac35f2638feabc375d05d418f9904b0c8d6dc68,0.1167,6.1851
0xd3f1070b46e2aad65733e5a6d1cfd029c67b0791,0.1108,5.8724
0xbf876cf9057aaf1eca78cdde94749a547bd8e63d,0.1099,5.8247
0xb234182bd57526686cd6db545c34daa04942daa8,0.1082,5.7346
0x3c5e4523b65cb0dea5247bb6b6b2de60688971cb,0.1068,5.660400000000001
0x94debc57081c4c58dd69f4dfce589b82fc3c2866,0.1051,5.5703000000000005
0x5c2cebfc43349ee1e4dace71163ad7508ec3afa9,0.1043,5.527900000000001
0x781096e8a3ec3a307c620a972535043896682013,0.1013,5.3689
0x840800b500974851df219dc7c558a6b0bcc0ed58,0.1001,5.3053
0x3136be7a1fc3baf61e36202f94b9fbfde676e114,0.0949,5.0297
0xd854a9f15f3fab95db38db30da1cf81aa9320b88,0.0892,4.7276
0x12d26abf06eb3499bcca8be7f5381647b56d53ee,0.0876,4.642799999999999
0x901c7399a5561c12584b55e327d6fcedf8ef9428,0.0825,4.3725
0x4d98d36ae16fa325bc13a9cc15d64648bda42d8c,0.0818,4.3354
0x3e8c91472fc50a8528e448ff501af9bf8c00cceb,0.0801,4.2453
0x9f83a430081fbc7d03b36c1115213de1d8217d83,0.0796,4.2188
0xe06500f6b2c463cb0fc384251ecc3e49001c696d,0.0786,4.1658
0x4477faf75af68a845fba18a72fe65d0eb3073ba1,0.078,4.134
0x7efdec1d3fa35a11906928c5b4416c5c8ebb8ff6,0.0776,4.1128
0x5faa3c4b1c41887b2ae1391237dff44d58815aab,0.0769,4.075699999999999
0x9deb607b7e92096df55b02aa563e82f612fd0def,0.0766,4.0598
0x3a279a6ff38edc992a7fe3aea2024a55fb7dfdba,0.0763,4.043900000000001
0xd8b87a01980eb792e3bc030bdec42db2b9b5cbfc,0.0763,4.043900000000001
0x2e86d29cfea7c4f422f7fccf97986bbba03e1a7f,0.0718,3.8054
0xf73484a987ed44b6926996c1c6cdd460807246bf,0.0717,3.8001
0xc82307702e339227fc154abb7b13a402c156748d,0.0716,3.7947999999999995
0x2ec9912157a1d0a813fdc7ac2b76203741cb4a8e,0.0714,3.7842000000000002
0xc4359587c848e6cace36bf6a6b326c8d16d36bd8,0.0714,3.7842000000000002
0x64f830a199bf057b157e8f1b6ab56bc157a87b11,0.0697,3.6941
0xa9c4066447cffea1f8dbe3ee44bf6aa3344d932f,0.0681,3.6092999999999997
0x9b8b0292434d70a925216f09015842c15851f3f2,0.0661,3.5033000000000003
0x1b184a64cb8a2efb161c9dcdd4565413bfeec81d,0.0658,3.4873999999999996
0xe7f998a644771b4c271205aa66d32820ae95e7f5,0.0636,3.3708000000000005
0x170ca91deeef8141e57881f8566ff6aaa291320d,0.0589,3.1217
0x591c26a167533c1f5346640ac935a6c48e380ed7,0.0559,2.9627000000000003
0xa850ba793f7e9507a6e797b4bd77834b34e01a1a,0.0543,2.8779
0x5c3d14e1da2d26a86f46cbb8c05f51f9ff199390,0.0526,2.7878
0xfa59dd7e6eb82ba5ab01aef84d85c9c6b3904e74,0.0489,2.5917
0x8be3ec7cde3e275c958b1896ae75dacdfbe9b02e,0.0481,2.5493
0xe239c3bacbe08e0569ac6651b3ac264ca5e772bf,0.0463,2.4539
0xe93ce1315a296e12e040f47c6d0bf3496253d10a,0.0462,2.4486
0x071f53a0e2549566a088680b1ff927ce36120db6,0.0462,2.4486
0x772c1f2ca95fd4e317cd602e712e30178c059c70,0.0452,2.3956
0x798053c2314e944cf3595c8175116d406a5ce717,0.0451,2.3903
0x11ce0360917320c6eb9305fbb77447a031ffb050,0.0446,2.3638
0xbb710dcbb13ae7b8faee2b6d3fac5ba81920d8fb,0.0435,2.3055
0x69397a82277f241aa877a7d27211972be9ebbe11,0.0431,2.2843
0x0e1f017b36066851b40ecf35c3c69bf481c24430,0.0419,2.2207
0x0a4cecbf05d06c837ffd79bedc5c03856d0297a2,0.0409,2.1677
0xa2555b4aff00b915265b965704819d0ca661fb0b,0.0401,2.1252999999999997
0x1c157bd0ce3f4a2ee06b60891e5389b85a55c55e,0.0391,2.0723000000000003
0x5da44a9ceb43aacbc8ccda176d303b7f75d27c8f,0.0379,2.0087
0xb85f4dde17a8a06102dcfdeb68f2b48cf8a09024,0.0372,1.9716
0xcd51bb6e21a22a612abf793a59b6cd2e0a8b10d1,0.0357,1.8921000000000001
0xaaed7ef3807e3f38756ca52068371071b0f471b1,0.0356,1.8867999999999998
0xbd9e601ab0462e8ac4977790e4142fa3275f8e2a,0.035,1.8550000000000002
0x453a2a8a74d2fb27049f31d987c28439a227a56b,0.0339,1.7967
0x60c20a6614abb57f7a304c382bbc5a1067a98d61,0.0338,1.7913999999999999
0x34237a7d7217fd7953d3809a6d82940088316fe9,0.0331,1.7542999999999997
0xaba9346c7c0fc7d7c0bc24b714bd8e4e3ee878f3,0.0321,1.7012999999999996
0x7a96a49418a101f63731ae1af8e1995be7b13f38,0.03,1.5899999999999999
0x3e2722f71684ebd1f585981fc722da6350d349ef,0.03,1.5899999999999999
0x1cf04ed2a482b7217251cd11118674665dd61bd2,0.0299,1.5847
0xb010aff3138862850eabecb20de7a4f49406af97,0.0296,1.5688000000000002
0x22cd3b52b68ded0686b99acb70bfc22f839417c4,0.0295,1.5635
0x7d6a2f6d7c2f7dd51c47b5ea9faa3ae208185ec7,0.0295,1.5635
0xcea078580e49a9818d18281f7bd80780890bab12,0.0293,1.5529000000000002
0x6cdce269a08ae6defb78bb7a42c818118882ab22,0.0284,1.5052
0x6a074a51afb657c02146b0d0b4b22f4e34424849,0.0283,1.4999
0x6d8a9f1cfba155186ef8ca10a2c66879655759cd,0.0281,1.4893
0x74d6400f9480df5e5ffc76283147836bce8d3c95,0.0281,1.4893
0x08535bbdd792254c23d6fbe21c25252461e740b8,0.0278,1.4733999999999998
0x4ec2dcdfb3c165da62dd1367cb42fe7551524984,0.0271,1.4363
0x208ba950ceae456d5b7a5aaf4d1298a8603910a1,0.0271,1.4363
0x61d2b8f4388d4778abc40e05e6b1e3ec525ce1ba,0.0255,1.3514999999999997
0xafc44e82c1a77859503913835969560cb772051a,0.0251,1.3303000000000003
0xc19b22945fb4cee4ffa784ac0187b4a5c91d2b38,0.0249,1.3196999999999999
0xf9d260696a365c93b02c20f50087fa751097f17b,0.0248,1.3144
0xac703cdbe2c7e1f72dfc45471bbbf3704847430e,0.0246,1.3038
0x45e4352a2f41b7c1ae768f4aa4075b3299843b42,0.0238,1.2614
0xd51eb64efcefc47c9e50bcafe0cc40b356ad99ae,0.0235,1.2455
0xd89bcf9a80cf367174a83f33aa894e002cc63278,0.0226,1.1978
0x253c26f7ee617e132a87a3860869ab5eeedccb8c,0.0222,1.1766
0xeb1a5a37369b499123962520bc08ddddfe064bc0,0.0221,1.1713
0x4abb06d9e06f21401db9738015a68072380cdbc9,0.0219,1.1606999999999998
0x6992bd823bb63e189a827566c648ece23adc6de9,0.0217,1.1501000000000001
0x8809d43470541aeb1a201bc2ed05a390adb2f080,0.0215,1.1395
0xbc77450de7f593f2fabe1cab9c38d36b66056707,0.0212,1.1236
0xc844e702f33f82bae0a5c70d6942ffd067c4d3cc,0.0211,1.1183
0x98c02c575e6195969232d47c8f65d1caabe1a20d,0.021,1.113
0x7669109d3126928f4ec9c96d7246d6cafa7b8f50,0.021,1.113
0x46991452a164653accb4ede338550bda08c9d477,0.0205,1.0865
0x77a462b1c8204bad01083fffd35a048ebb72038f,0.0204,1.0812000000000002
0xebca142fb749e6c40a01cd1c603c5ed5af59e198,0.0204,1.0812000000000002
0x55c87e6d8369441d630021bdf39da1feb62a4607,0.0202,1.0706
0xb125834c370215be4f42faceda15407910b0a4d3,0.0193,1.0229
0x2ea53c5cc6e2653aed36f2f34469835725014a97,0.0188,0.9964000000000001
0xcf4f74ff439c5ea64ddc91086cc4ed8f51ac712b,0.0185,0.9805
0x72819a2e62a58d2c56fef746575526523c1b06be,0.0183,0.9699
0xd4e552eb8302a877390e54fc3ce9a268b3df91a1,0.0177,0.9380999999999999
0xebe3e42e2add2a7d4d5fb2b35793abf389393855,0.0176,0.9328000000000001
0x28e690b76a30ff912af2c5bbe90390f6bcb4d4dc,0.0174,0.9222
0xeb18d61588cee42aa80268d75d3559fcbf62da10,0.017,0.901
0x1b9c8a9e5c7fd7ee4c4646af24ac40c31ad28fc0,0.0169,0.8956999999999999
0xf37d15412e97721fd6756581a4d56eb1bce41df2,0.0166,0.8798
0xce53076a174312c06dafa8ddccd826ff2e76500c,0.0166,0.8798
0x3fc658680cea3e0291e67b99cc626189e8c464fb,0.0165,0.8744999999999999
0x7fd35f5671cbb5ab2b8e1b17ca6927bca2989dd4,0.0165,0.8744999999999999
0x52d48c66695512811c45e8eff30a513307acf69c,0.0161,0.8533000000000001
0x0f8d94cea1eba9c582bbe800545ca91dfc39da18,0.0154,0.8162
0xc26bc1458f8fa6612fe89c2be9e44ad50b37812c,0.0152,0.8056000000000001
0xd39ad1c2f98294780a80f7fbe4bbb1e6cafa9d08,0.0152,0.8056000000000001
0xe08048160d2a26d85b335e5951c818642959fa77,0.0148,0.7844000000000001
0x57008097161cf8da341a8e41f9422e6be7fc7709,0.0147,0.7791
0x4dc8f53f70eadec2d1866566da06e3e994f13df5,0.014,0.7420000000000001
0x63284c54a82ca1785a0a03fa8402efd735edb333,0.0139,0.7366999999999999
0x08a380086f192d11f62d0be51e6e8a1bf2ca84a6,0.0136,0.7208
0xfc77577d39bac91d57956338e1ba594fee603dfa,0.0133,0.7048999999999999
0xb6f5fb0aee8bff9fc3d57d2158c5fe4473f2d206,0.0133,0.7048999999999999
0xb112a8df7431a3826975f13a80b15327aca09b8d,0.0132,0.6996
0x4579b9605cb0d84e2c0f829376e685383e869a88,0.0128,0.6784
0x12ee8f03fe941ed7cf3a4a3155cbcc970c3ead96,0.0125,0.6625
0x2f0b44f9caf79bfed5e97ba0470cc07565ba9d82,0.0124,0.6572
0x33e74a64d404fb8a8ad7dad39e138937dddb269c,0.0123,0.6519
0x04403d0a919ef68e5edbe4de46f9e89110fe60ad,0.0121,0.6413
0x8cb6a4adf31de6f661166909761d12e55de22bcb,0.0121,0.6413
0x90010c53c59f04060fc5969af2432589cbb8aab1,0.0121,0.6413
0x8ca3475aa16803fdf9ad4dd2fcea3415f65373d3,0.0116,0.6147999999999999
0x00f98baf21eed79164d1cf99eae6b4439b96dd46,0.0114,0.6042000000000001
0x02968341f7a519a446afbdaf4bd439e5f27b612a,0.0112,0.5936
0xf71a892c9af8e4bf483abb43374a45c63447da77,0.0111,0.5883
0x2e818545b078bcb5e08feba5d791042bb1ee1579,0.0109,0.5777
0x94f8499d9f0aa65b41cf2f8ed09a2260530ed269,0.0109,0.5777
0xc858dd4f2a80a859d491a16beee6708a6743bfb7,0.0109,0.5777
0x7b3fc8884f69a30bea47013961e06c54fc003ad3,0.0107,0.5671
0x0dea5aaa06aa6eece70b67b66605e1a336504ec0,0.0106,0.5618
0xd28286be177b23a56c17e07dd286586128ea2f7e,0.0105,0.5565
0xbbf006da65607600c60ee3a2d0ca44c75c351877,0.0104,0.5511999999999999
0x8a526ff80c06e84652de34b9eb92a1ff78c61ea3,0.0104,0.5511999999999999
0x06e9a5e6ba50a2e20aadaf86c984df62f4873d6f,0.0104,0.5511999999999999
0x97988d23302452730e7951aabf1a573ec88070ec,0.0103,0.5458999999999999
0xab68730e81756f066ba6152c80b49ce62724f50b,0.0102,0.5406000000000001
0x89a6cd7741bafebb4f03471d949b70cd5e439c99,0.01,0.53
0x839375339b030c4a8a2f8bcedd85c308d898307a,0.01,0.53
0x8d5aa0bcf33d2269ec300fd7b1285032197f2c98,0.01,0.53
0xc92fc09658fb97ccf59ffd34d404766c3713c828,0.0096,0.5087999999999999
0x669d8f0878bd1e93c19af32357e69cae4f227f2b,0.0091,0.4823
0xa56847786f981a23d1b3d8b193eff2afba4c1d3a,0.0091,0.4823
0x32fb7c36d429f9c4e37a6acde4499ccadabb84f2,0.009,0.477
0xc66efb4b2f4428e9d16f722b5c29c4cbebdee9fa,0.0089,0.47169999999999995
0x75c1d99b8c39dd31b6815a6269dc7b16d43a11c1,0.0088,0.46640000000000004
0x6a4c5f9fc313716dae3ae69f10054dfc803fb781,0.0087,0.4611
0xe67f88dc8ec4f1010fb089430293d693b3b7b6ea,0.0085,0.4505
0x6a6575d84d60ec2b41055816e03b45f5a0098ee9,0.0084,0.4452
0x10f2bab6d1634673c7037b853cdc4e1fbd477d8d,0.0084,0.4452
0x7829bbfbc9e16f073b7c8eee120a2db41a0751e7,0.0083,0.4399
0xe41415c2ad9cdea1b284e81ee3e79af9f3765169,0.0082,0.4346
0x09530e14a5658bcee95b2120c271004b482e5833,0.0081,0.42929999999999996
0x6db521efdbe36389a44b576db4747a2fe1e88646,0.0081,0.42929999999999996
0xd860bee6c3a6e8bba5e6e4eefd5499a1a018eee7,0.0076,0.40280000000000005
0x1cce12e31cb4d0b32d4ea00ca511991c84f87c81,0.0076,0.40280000000000005
0xe58000ce4dd92a478959a24392d43d4c100c85fd,0.0075,0.39749999999999996
0x30a6fddac82ee8f996572bfa9219b46e560fb61f,0.0074,0.39220000000000005
0x450d917214101a4e3f5af7ac0eb1425afa20791a,0.0074,0.39220000000000005
0xaec539a116fa75e8bdcf016d3c146a25bc1af93b,0.0073,0.3869
